Model,ROUGE-1,ROUGE-2,ROUGE-L,Inference Time,Summary Length,Compression Ratio
BART,0.1729,0.0833,0.1429,12.7237,48,0.0966
TextRank,0.4097,0.3287,0.3333,0.0136,71,0.1429
